vars	mean_control	coef_anytransfer	coef_uncond_mere	coef_cond_pere	coef_cond_mere	N	p_val_CCT_dif_UCT	p_val_mo_dif_fa
"attrition"	"0.122"	"-0.032"	"-0.011"	"0.006"	"0.001"	4832	"0.454"	"0.561"
""	"[0.328]"	"(0.021)"	"(0.024)"	"(0.018)"	"(0.018)"		""	""
"attrition_aser"	"0.309"	"-0.009"	"0.009"	"-0.003"	"-0.028"	4682	"0.345"	"0.49"
""	"[0.462]"	"(0.037)"	"(0.038)"	"(0.033)"	"(0.034)"		""	""
"sampling_frame_problem"	"0.081"	"-0.012"	"0.043"	"0.005"	"-0.025"	4385	"0.205"	"0.719"
""	"[0.273]"	"(0.038)"	"(0.049)"	"(0.031)"	"(0.029)"		""	""
"bs_male_head"	"0.97"	"0.009"	"-0.001"	"-0.001"	"-0.007"	4385	"0.539"	"0.39"
""	"[0.17]"	"(0.011)"	"(0.01)"	"(0.009)"	"(0.009)"		""	""
"bs_age_head"	"46.171"	"-1.259"	"1.324"	"1.369"	"0.562"	4309	"0.4"	"0.69"
""	"[9.751]"	"(0.614)**"	"(0.65)**"	"(0.531)**"	"(0.522)"		""	""
"bs_nmember"	"6.764"	"-0.021"	"0.006"	"-0.02"	"0.021"	4385	"0.971"	"0.712"
""	"[2.057]"	"(0.142)"	"(0.157)"	"(0.134)"	"(0.135)"		""	""
"bs_nchildren615"	"2.394"	"-0.05"	"-0.025"	"0.033"	"-0.001"	4385	"0.497"	"0.445"
""	"[0.98]"	"(0.071)"	"(0.074)"	"(0.069)"	"(0.07)"		""	""
"bs_pchildren_enrolled"	"0.789"	"0.059"	"-0.026"	"-0.05"	"-0.008"	4369	"0.178"	"0.095*"
""	"[0.283]"	"(0.019)***"	"(0.021)"	"(0.018)***"	"(0.017)"		""	""
"bs_pchildren_neverenrolled"	"0.07"	"-0.032"	"0.018"	"0.021"	"0.008"	4369	"0.394"	"0.597"
""	"[0.163]"	"(0.011)***"	"(0.011)"	"(0.01)**"	"(0.009)"		""	""
"bs_pchildren_dropout"	"0.141"	"-0.027"	"0.009"	"0.03"	"0"	4369	"0.261"	"0.073*"
""	"[0.239]"	"(0.016)*"	"(0.017)"	"(0.015)**"	"(0.014)"		""	""
"bs_head_readwrite"	"0.234"	"0.035"	"-0.067"	"-0.002"	"-0.032"	4318	"0.364"	"0.025**"
""	"[0.424]"	"(0.03)"	"(0.031)**"	"(0.027)"	"(0.027)"		""	""
"bs_head_completeprimary"	"0.042"	"0"	"-0.016"	"-0.016"	"-0.001"	4291	"0.964"	"0.456"
""	"[0.2]"	"(0.013)"	"(0.013)"	"(0.01)"	"(0.011)"		""	""
"bs_head_some_educ"	"0.281"	"0.018"	"-0.05"	"0.015"	"-0.021"	4303	"0.25"	"0.026**"
""	"[0.45]"	"(0.033)"	"(0.032)"	"(0.027)"	"(0.027)"		""	""
"bs_monthly_consump_pc"	"448.979"	"7.726"	"-11.233"	"-6.962"	"-4.625"	4279	"0.985"	"0.864"
""	"[196.751]"	"(18.202)"	"(20.95)"	"(15.938)"	"(17.177)"		""	""
