vars	mean_control	coef_anytransfer	coef_uncond_mere	coef_cond_pere	coef_cond_mere	N	p_val_CCT_dif_UCT	p_val_mo_dif_fa
"bs_own_land"	"0.636"	"0.004"	"0.024"	"0.023"	"-0.025"	4277	"0.63"	"0.283"
""	"[0.481]"	"(0.043)"	"(0.045)"	"(0.038)"	"(0.038)"		""	""
"bs_own_cellphone"	"0.614"	"0.132"	"-0.065"	"-0.08"	"-0.081"	4348	"0.021**"	"0.325"
""	"[0.487]"	"(0.035)***"	"(0.033)*"	"(0.029)***"	"(0.027)***"		""	""
"bs_own_tv"	"0.714"	"0.041"	"-0.046"	"-0.059"	"-0.027"	4348	"0.417"	"0.725"
""	"[0.452]"	"(0.048)"	"(0.045)"	"(0.038)"	"(0.038)"		""	""
"bs_own_radio"	"0.626"	"0.042"	"-0.045"	"-0.033"	"-0.057"	4344	"0.224"	"0.12"
""	"[0.484]"	"(0.03)"	"(0.031)"	"(0.025)"	"(0.027)**"		""	""
"bs_bank_account"	"0.03"	"0.012"	"0.001"	"-0.006"	"-0.007"	4347	"0.447"	"0.991"
""	"[0.17]"	"(0.015)"	"(0.016)"	"(0.014)"	"(0.015)"		""	""
"bs_elec"	"0.545"	"0.071"	"-0.037"	"-0.087"	"0.004"	4385	"0.551"	"0.175"
""	"[0.498]"	"(0.069)"	"(0.067)"	"(0.058)"	"(0.058)"		""	""
""	"790"	"567"	"574"	"1227"	"1227"	4385	""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
""	""	""	""	""	""		""	""
