vars	mean_control	coef_anytransfer	N
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
