vars	mean_control	coef_anytransfer	N
"some_time_school"	"0.36"	"0.21"	1227
""	"[0.48]"	"(0.04)***"	
"time_school"	"140.94"	"90.78"	1227
""	"[178]"	"(16.64)***"	
"time_inschool"	"90.83"	"56.68"	1227
""	"[126.71]"	"(11.74)***"	
"time_homework"	"31.25"	"16.22"	1227
""	"[66.76]"	"(7.63)**"	
"time_traveltoschool"	"18.75"	"18.12"	1227
""	"[32.59]"	"(3.83)***"	
"time_chores"	"97.19"	"-13.6"	1227
""	"[148.67]"	"(8.98)"	
"time_inwork"	"69.45"	"-31.85"	1227
""	"[149.83]"	"(12.94)**"	
"time_social"	"307.69"	"-55.53"	1227
""	"[190.26]"	"(16.44)***"	
"time_perso"	"749.96"	"9.17"	1227
""	"[96.04]"	"(8.08)"	
"time_other"	"58"	"-5.99"	1227
""	"[81.72]"	"(8.41)"	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
""	""	""	
